Year,Bayview_Evictions,Mission_Evictions,Pacific Heights_Evictions
2007,1,3.81,1
2008,0.98,3.6,0.83
2009,1.05,2.81,0.71
2010,1.07,2.71,0.55
2011,0.86,3,0.83
2012,1.14,4.05,0.9
2013,1.17,5.64,0.98
2014,1.26,4.76,1.69
2015,1.76,4.19,1.4
2016,1.93,4.33,1.38
2017,1.71,3.43,0.86
