Year,Bayview Hunters Point,Mission,Pacific Heights,
2007,42,160,42,
2008,41,151,35,
2009,44,118,30,
2010,45,114,23,
2011,36,126,35,
2012,48,170,38,
2013,49,237,41,
2014,53,200,71,
2015,74,176,59,
2016,81,182,58,
2017,72,144,36,
