Year,Bayview,Mission,Pacific Heights
2007,0.881687517,0.910445955,1
2008,0.895927602,0.995166013,0.960492794
2009,0.882519297,0.965301135,1.005456481
2010,0.886216993,0.961504417,1.04285334
2011,0.943305829,0.993757108,1.021027415
2012,0.95172345,0.941613262,1.003327123
2013,0.934788395,0.98946923,1.010380623
2014,0.92327655,0.985747816,0.972451424
