Year,Bayview,Mission,Pacific Heights
2007,0.25640168,0.566236275,1
2008,0.270765375,0.614585051,1.122510053
2009,0.284299501,0.639403645,1.202687467
2010,0.286272105,0.661023783,1.195517007
2011,0.302296713,0.6776632,1.183404727
2012,0.318299267,0.7192013,1.258991326
2013,0.327673831,0.770799941,1.337087212
2014,0.337749975,0.805014152,1.421982338
2015,0.358713439,0.868738274,1.478116256
2016,0.384449048,0.986128169,1.523447561
2017,0.417724489,1.075507189,1.664665381
