Year,Bayview,Mission,Pacific Heights
2005,,0.7125,
2006,0.731272727,0.828478261,0.947333333
2007,0.828125,0.855136364,0.93925
2008,0.8415,0.934709677,0.902142857
2009,0.82890625,0.906659091,0.944375
2010,0.83237931,0.903093023,0.9795
2011,0.886,0.933386364,0.959
2012,0.89390625,0.884410256,0.942375
2013,0.878,0.929358974,0.949
2014,0.8671875,0.925863636,0.913375
