Year,BAYVIEW,MISSION,NORTHERN
2007,13925,18434,16430
2008,14104,19721,16080
2009,13617,19117,15838
2010,14076,18119,14263
2011,13914,18237,14655
2012,14498,18786,16341
2013,14788,21156,18112
2014,13884,19438,18411
2015,14710,18537,20089
2016,14344,19561,20143
2017,14003,21798,21043
